"lat" "long" "freq" "location"
"5723" 59.87826 10.5462 1 2516
"4293" 59.23465 10.70579 1 1574
"2592" 58.97331 9.863421 1 82
"3397" 59.09646 9.714643 1 800
"5418" 59.73833 10.3027 1 2313
"3469" 59.10465 10.34603 1 865
"4893" 59.53252 10.31055 1 2027
"3865" 59.15683 11.04289 1 1201
"5408" 59.73369 10.23343 1 2305
"2587" 58.9725 9.674784 1 77
"3167" 59.06791 10.45253 1 588
"4988" 59.57691 10.64803 1 2098
"4240" 59.22057 10.68883 1 1532
"3740" 59.13631 10.31244 1 1087
"5811" 59.90041 10.66651 1 2585
"4624" 59.42722 10.58872 1 1843
"3635" 59.12346 10.22047 1 1004
"2952" 59.04107 11.03962 1 390
"3211" 59.07295 9.715559 1 628
"4092" 59.19293 10.46615 1 1401
"3996" 59.17599 11.00841 1 1316
"3984" 59.17376 10.44742 1 1306
"4598" 59.4071 10.65095 1 1826
"3960" 59.17034 10.82138 1 1284
"2676" 58.99144 11.03452 1 140
"2768" 59.00982 10.11599 1 218
"3155" 59.06667 10.22782 1 576
"3731" 59.13524 11.13492 1 1079
"3269" 59.08008 10.3033 1 682
"4402" 59.26924 10.72383 1 1669
"4215" 59.21496 10.45898 1 1510
"3721" 59.13398 11.07095 1 1070
"2613" 58.9783 10.00798 1 97
"3858" 59.15595 10.89822 1 1194
"4345" 59.25108 10.42682 1 1620
"4768" 59.48326 10.66865 1 1937
"3698" 59.13023 11.03022 1 1049
"3043" 59.05227 9.783773 1 475
"5794" 59.89466 10.5869 1 2574
"5285" 59.69222 10.56359 1 2221
"4954" 59.56051 10.23742 1 2076
"4189" 59.21073 10.54045 1 1488
"3147" 59.06565 10.95855 1 569
"2888" 59.03026 11.05577 1 332
"3783" 59.14461 11.12025 1 1125
"2838" 59.02267 10.18491 1 284
"4100" 59.19432 10.81368 1 1408
"4985" 59.57251 10.42975 1 2096
"4306" 59.23907 10.73149 1 1585
"4353" 59.25265 10.45107 1 1625
"3253" 59.07824 10.44003 1 667
"4487" 59.31701 10.7754 1 1740
"3932" 59.1664 11.11167 1 1260
"5026" 59.59693 10.4348 1 2114
"3077" 59.05621 9.738611 1 503
"3649" 59.12471 10.29197 1 1011
"3277" 59.08135 11.08529 1 690
"5227" 59.67566 10.62508 1 2186
"3914" 59.16389 10.43775 1 1244
"3921" 59.16501 10.36157 1 1250
"4323" 59.24453 10.68796 1 1601
"4587" 59.38691 10.53675 1 1818
"3637" 59.12369 11.0679 1 1005
"5507" 59.79566 10.60811 1 2371
"3992" 59.17504 10.88407 1 1312
"4917" 59.54328 10.39181 1 2048
"5267" 59.68806 10.59248 1 2210
"2988" 59.04561 10.87409 1 424
"5067" 59.61891 10.43276 1 2135
"5705" 59.87429 10.75536 1 2501
"3725" 59.13444 10.93103 1 1074
"5676" 59.86665 10.76933 1 2478
"3591" 59.11829 10.35014 1 969
"3330" 59.08811 10.2896 1 739
"4765" 59.48243 10.62566 1 1934
"2773" 59.01079 9.784154 1 223
"3472" 59.10484 10.3041 1 867
"3814" 59.14802 11.00634 1 1154
"4039" 59.18363 10.36119 1 1353
"3348" 59.09039 10.96945 1 755
"4012" 59.17913 10.90424 1 1329
"3327" 59.08777 10.39855 1 737
"3760" 59.14065 11.0351 1 1105
"3479" 59.10554 10.83472 1 873
"5312" 59.69831 10.62374 1 2237
"3514" 59.1097 10.91888 1 902
"3614" 59.12147 10.94116 1 987
"3106" 59.06018 10.92459 1 530
"4855" 59.5221 10.66899 1 1993
"4153" 59.20351 10.50863 1 1456
"3300" 59.08499 10.94926 1 713
"3646" 59.12443 11.1073 1 1010
"5440" 59.74739 10.26605 1 2332
"2717" 59.0014 9.817808 1 177
"3154" 59.06644 10.39215 1 575
"3274" 59.08055 9.698181 1 687
"3165" 59.06768 11.0881 1 586
"4906" 59.53793 10.4114 1 2039
"5158" 59.65724 10.60154 1 2164
"4790" 59.49086 10.6832 1 1948
"4658" 59.44087 10.47816 1 1872
"2786" 59.01364 10.08806 1 235
"2979" 59.04482 11.09315 1 415
"4439" 59.29148 10.67368 1 1698
"5839" 59.91995 10.67263 1 2605
"3242" 59.0769 11.05186 1 657
"2827" 59.02112 9.737092 1 273
"5806" 59.89916 10.7309 1 2582
"5396" 59.72884 10.73291 1 2296
"3585" 59.11781 9.620446 1 964
"3758" 59.14016 10.95719 1 1103
"4366" 59.25846 10.74427 1 1637
"2812" 59.0179 11.06467 1 260
"4834" 59.51342 10.35602 1 1977
"3119" 59.06213 10.41161 1 543
"4751" 59.47452 10.65926 1 1927
"4543" 59.34368 10.75456 1 1785
"4836" 59.51428 10.29307 1 1979
"3622" 59.12208 11.18458 1 995
"5306" 59.69623 10.53642 1 2232
"5746" 59.88391 10.76123 1 2533
"2228" 58.87727 9.600691 1 4
"3499" 59.10784 10.95555 1 891
"2850" 59.02489 9.830652 1 295
"5497" 59.78639 10.59683 1 2367
"2940" 59.03898 10.02476 1 379
"5818" 59.90494 10.75151 1 2592
"4183" 59.2093 10.76767 1 1482
"5648" 59.85837 10.52219 1 2453
"3311" 59.08596 9.614849 1 722
"5666" 59.86369 10.56457 1 2469
"3282" 59.08217 9.791478 1 695
"3301" 59.08517 10.21749 1 714
"5369" 59.71611 10.31932 1 2276
"5699" 59.87215 10.58363 1 2497
"3531" 59.1109 10.27978 1 918
"2617" 58.9787 9.986235 1 100
"2846" 59.0241 9.756165 1 292
"4393" 59.26539 10.38567 1 1661
"5503" 59.79396 10.50283 1 2369
"4370" 59.26006 10.4194 1 1641
"2994" 59.04655 10.96749 1 430
"3477" 59.10548 10.49136 1 871
"3491" 59.10709 10.77035 1 884
"3571" 59.11662 11.21433 1 953
"3192" 59.07076 10.27727 1 611
"4354" 59.25312 10.38716 1 1626
"3929" 59.16616 10.39739 1 1257
"3237" 59.07587 10.25918 1 653
"2766" 59.00942 9.83045 1 216
"2916" 59.03535 9.741702 1 359
"4800" 59.4953 10.30895 1 1953
"3215" 59.07323 10.42548 1 632
